NEWID,Age,Education,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Apparel,Health Spending,Personal Insurance
3737663,19,12,4371,1072.917,757,130,45,100,0,0,25.9167
3737672,72,15,47616,2063.667,1030.667,303.3333,61.333,100,0,25,0
3737682,50,12,63753,4347.167,1505,433.3333,1255.333,255,0,256,637.5
3737712,87,11,12713,988,557,195,0,127,0,101,0
3737732,33,14,58245,3708.5,1214.333,520,210,320,120,541.6667,382.5
3737742,30,16,81180,5819.25,2867.667,1010,49.667,312,0,844,704.9167
3737772,57,14,3298.4,2924.35,846,1300,435,128,0,185,13.6833
3737782,35,14,34990.4,1359.6,636,260,80,0,0,0,233.6
3737792,27,13,47165,6441.583,1994,2033.3333,1352,110,0,0,439.25
3737812,68,13,24968,1383.333,378,390,197,99,0,202,0
3737822,51,11,77515.4,2785.533,612,742.3333,80,107,0,581.6667,555.8667
3737832,76,13,44280,3730.667,1602,690,549,366,0,407,0
3737842,74,16,60598,2412.583,853,390,62,61,0,458,446.25
3737852,75,15,67586,8481,5986.667,472,546,0,5.3333,460,0
3737862,52,16,49935,5008.083,1373,628.3333,80,103,60,497,466.75
3737892,37,11,9510,1346.667,217,758.3333,199,105,0,0,2.3333
3737912,63,12,32564.2,4394.2,1813,496.6667,1732,84,0,-308.3333,215.5333
3737922,73,11,51451,1665.667,871,260,80,239,0,0,199
3737972,39,15,97143,6947.333,2212.333,1120,1150,301,266,1168.3333,701.3333
3737982,43,12,24091.6,2338.233,1005.667,433.3333,70,0,518.3333,0,230.5667
3737992,69,16,44158,6389,1905.333,805.3333,1207,648,10,195,0
3738012,87,12,13752,2598,2403,130,0,52,0,13,0
3738022,51,15,155356.6,12647.112,8874.667,900,1050,490,15,250,1036.4456
3738032,87,15,14245.4,1041.333,573,303.3333,0,85,0,0,0
3738062,55,14,11760,1639,714,173.3333,390,100,0,175,0
3738142,20,13,1000,1949,1189,281.6667,160,5,0,0,0
3738152,67,13,12864,2462.333,1056.5,511.3333,520,94,0,108,0
3738162,39,16,108536,6091.867,3378.667,567,809,235,51,173.3333,665.8667
3738173,35,15,38025,2561.25,1081,736.6667,461,0,6.6667,0,235.9167
3738182,53,12,129570.6,9579.967,2167.333,693.3333,4250,66,200,251.6667,1826.6333
3738212,54,11,800,1023.333,614,303.3333,60,46,0,0,0
3738232,38,15,221759.6,10802.612,5297.667,1408.3333,1524,273,0,545,1514.6122
3738262,37,13,49959,4157.25,700.833,626.6667,1855.667,345,0,198,311.0833
3738282,70,12,45762,2406.283,1076.333,0,568,112,20,242,223.2833
3738302,51,15,1295,1751.667,834.667,238.3333,0,657,11.6667,0,0
3738312,45,15,120074.6,8982.35,1873.333,871,4322,305,0,561.6667,949.35
3738332,29,11,45639,2469.833,1071,260,812,0,0,3,318.8333
3738342,36,15,156549,5249.417,2176.667,730,300,63,25,130,1774.75
3738352,68,14,49433,7316,1830,445.3333,3133.667,730,15,370,0
3738402,52,13,74126.6,4949.933,1277,847.6667,510,514,0,1163.6667,337.6
3738422,26,13,32083,4006.583,1158,736.6667,1369.333,85,40,307,198.9167
